Date,Open,High,Low,Close,Volume
2018-07-23,100.0,110.0,98.75,101.25,11416
2018-07-30,102.5,108.75,93.75,100.0,5152
2018-08-06,103.5,104.5,81.0,85.75,3860
2018-08-13,85.5,96.25,75.0,96.0,2652
2018-08-20,95.0,96.25,73.5,81.25,1468
2018-08-27,85.25,85.25,73.75,77.0,2000
2018-09-03,83.5,90.0,68.5,72.5,2428
2018-09-10,75.0,86.25,62.75,68.75,6028
2018-09-17,71.25,97.25,69.0,72.5,15580
2018-09-24,76.0,78.75,68.25,68.25,4108
2018-10-01,69.0,85.0,64.0,68.75,3032
2018-10-08,71.25,74.0,64.0,65.25,888
2018-10-15,64.75,67.0,54.25,65.75,1040
2018-10-22,65.5,69.75,46.25,48.75,1592
2018-10-29,51.0,53.0,46.25,50.0,3320
2018-11-05,47.5,56.25,30.75,39.25,41284
2018-11-12,40.5,41.0,27.75,36.0,8188
2018-11-19,36.0,39.25,31.5,33.25,6132
2018-11-26,38.5,125.0,32.5,96.0,999824
2018-12-03,87.5,87.5,59.5,59.5,95916
2018-12-10,59.5,108.25,45.0,95.0,1366444
2018-12-17,86.5,107.5,68.0,107.5,534032
2018-12-24,96.25,186.25,90.0,138.75,704852
2018-12-31,135.5,179.5,116.25,160.0,166176
2019-01-07,160.0,187.25,142.5,174.25,69188
2019-01-14,177.25,236.0,157.75,167.5,113492
2019-01-21,161.0,178.5,125.0,146.0,51888
2019-01-28,142.25,175.0,116.5,172.0,118732
2019-02-04,169.0,170.0,129.5,134.75,62728
2019-02-11,133.75,144.0,98.5,105.0,116088
2019-02-18,101.75,115.0,80.0,95.75,305712
2019-02-25,94.0,102.25,85.25,87.75,67588
2019-03-04,87.5,98.0,81.25,84.75,122924
2019-03-11,83.75,97.5,82.5,82.75,99076
2019-03-18,83.75,84.75,68.5,75.25,44632
2019-03-25,74.75,90.0,70.5,85.75,28476
2019-04-01,85.25,87.0,75.25,76.75,22092
2019-04-08,76.25,79.25,72.0,73.25,12732
2019-04-15,73.5,77.0,63.25,67.25,17156
2019-04-22,67.0,72.25,56.75,62.5,20052
2019-04-29,62.5,74.5,59.5,72.25,45444
2019-05-06,71.25,78.25,57.75,59.25,22896
2019-05-13,59.25,60.0,54.5,56.5,7700
2019-05-20,58.25,59.25,50.5,57.0,8560
2019-05-27,56.5,57.0,46.25,46.25,12484
2019-06-03,46.75,55.75,44.0,53.25,15096
2019-06-10,54.5,55.75,47.5,48.75,11348
