Date,Open,High,Low,Close,Volume
2014-09-29,15.0,15.0,15.0,15.0,1000
2014-10-06,15.0,15.0,15.0,15.0,0
2014-10-13,15.0,15.0,15.0,15.0,0
2014-10-20,15.0,15.0,15.0,15.0,0
2014-10-27,15.0,15.0,15.0,15.0,0
2014-11-03,15.0,15.0,15.0,15.0,0
2014-11-10,15.0,15.0,15.0,15.0,0
2014-11-17,18.75,18.75,18.75,18.75,7
2014-11-24,18.75,18.75,18.75,18.75,0
2014-12-01,18.75,18.75,18.75,18.75,2053
2014-12-08,18.75,18.75,18.75,18.75,0
2014-12-15,18.75,18.75,15.75,15.75,6000
2014-12-22,15.75,15.75,15.75,15.75,4000
2014-12-29,15.75,15.75,15.600000381469728,15.600000381469728,2000
2015-01-05,16.5,17.25,16.260000228881836,17.25,45400
2015-01-12,17.25,17.25,16.350000381469727,17.25,25387
2015-01-19,17.25,17.25,15.0,15.899999618530272,22120
2015-01-26,15.899999618530272,18.75,15.0,16.649999618530273,21000
2015-02-02,18.75,19.5,15.899999618530272,15.899999618530272,19400
2015-02-09,12.0,18.149999618530277,12.0,16.799999237060547,6627
2015-02-16,16.799999237060547,26.25,16.799999237060547,22.69499969482422,887
2015-02-23,22.69499969482422,22.69499969482422,21.75,21.75,3800
2015-03-02,21.0,21.0,21.0,21.0,6300
2015-03-09,21.0,21.0,21.0,21.0,0
2015-03-16,21.0,24.75,21.0,24.75,1100
2015-03-23,30.0,30.0,21.0,21.0,1400
2015-03-30,21.0,27.0,21.0,27.0,500
2015-04-06,27.0,27.0,27.0,27.0,0
2015-04-13,27.0,27.0,15.0,25.5,400
2015-04-20,25.5,26.25,15.0,26.25,700
2015-04-27,26.25,26.25,26.25,26.25,0
2015-05-04,26.25,26.25,26.25,26.25,0
2015-05-11,26.25,26.25,26.25,26.25,0
2015-05-18,26.25,26.25,26.25,26.25,0
2015-05-25,26.25,26.25,26.25,26.25,0
2015-06-01,26.25,26.25,26.25,26.25,0
2015-06-08,26.25,26.25,26.25,26.25,0
2015-06-15,26.25,26.25,26.25,26.25,0
2015-06-22,26.25,26.25,26.25,26.25,0
2015-06-29,26.25,26.25,26.25,26.25,0
2015-07-06,26.25,26.25,26.25,26.25,0
2015-07-13,26.25,26.25,25.5,25.5,1000
2015-07-20,25.5,25.5,25.5,25.5,0
2015-07-27,25.5,25.5,25.5,25.5,0
2015-08-03,25.5,25.5,25.5,25.5,0
2015-08-10,25.5,25.5,25.5,25.5,0
2015-08-17,25.5,25.5,25.5,25.5,0
2015-08-24,25.5,25.5,25.5,25.5,0
2015-08-31,25.5,25.5,25.5,25.5,0
2015-09-07,25.5,25.5,25.5,25.5,0
2015-09-14,25.5,25.5,25.5,25.5,0
2015-09-21,25.5,25.5,25.5,25.5,0
2015-09-28,25.5,25.5,25.5,25.5,0
