Date,Open,High,Low,Close,Volume
2019-12-09,492.0,493.0,491.5,492.5,19240
2019-12-16,491.5,491.5,490.0,490.0,686
2019-12-23,491.0,492.5,490.5,492.5,472
2019-12-30,499.0,499.0,490.5,493.0,406
2020-01-06,493.0,495.0,493.0,493.0,670
2020-01-13,493.0,494.0,492.5,493.3500061035156,744
2020-01-20,493.5,494.5,491.5,492.5,312
2020-01-27,493.5,494.0,492.8999938964844,493.0,236
2020-02-03,493.0,503.0,493.0,500.5,1042
2020-02-10,501.0,502.5,495.5,500.5,518
2020-02-17,500.5,500.5,500.5,500.5,102
2020-02-24,500.5,500.5,492.0,497.5,9142
2020-03-02,497.5,497.5,495.5,495.5,2
2020-03-09,495.5,495.5,495.0,495.0,10
2020-03-16,495.0,495.0,495.0,495.0,3000
2020-03-23,472.5,478.0,472.5,478.0,230
2020-03-30,487.5,490.0,487.5,489.5,42
2020-04-06,492.0,492.5,490.5,490.5,430
2020-04-13,490.5,495.0,490.5,495.0,74
2020-04-20,495.0,495.0,495.0,495.0,8
2020-04-27,495.0,495.5,495.0,495.5,4794
2020-05-04,495.5,495.5,495.5,495.5,0
2020-05-11,495.5,495.5,495.5,495.5,144
2020-05-18,495.0,495.0,494.5,494.5,134
2020-05-25,494.5,495.5,494.0,495.5,64
2020-06-01,495.5,496.0,495.0,496.0,270
2020-06-08,496.0,497.0,495.0,497.0,730
2020-06-15,497.0,500.0,495.5,500.0,390
2020-06-22,500.0,500.5,496.5,496.5,4
2020-06-29,499.5,499.5,499.5,499.5,10
2020-07-06,508.0,508.0,504.0,507.0,2378
2020-07-13,507.0,509.5,501.0,509.5,544
2020-07-20,509.5,509.5,505.0499877929688,509.5,242
2020-07-27,510.0,510.0,505.0,505.0,718
2020-08-03,507.5,510.0,505.0,505.0499877929688,490
2020-08-10,505.0499877929688,505.0499877929688,502.5,504.0,352
2020-08-17,504.0,506.1000061035156,502.5,504.25,824
2020-08-24,502.5,508.0,502.5,503.0,3774
2020-08-31,505.0,507.5,501.5,503.0,2536
2020-09-07,505.0,507.5,501.5,501.5,1226
2020-09-14,505.0,507.5,500.0,503.25,3720
2020-09-21,503.0,505.0,500.0,502.5,4452
