Date,Open,High,Low,Close,Volume
2013-08-05,2520.0,2544.0,2400.0,2512.0,108
2013-08-12,2504.0,2504.0,2340.0,2488.60009765625,78
2013-08-19,2488.0,2488.0,2420.0,2463.60009765625,96
2013-08-26,2456.0,2540.0,2356.0,2512.0,176
2013-09-02,2512.0,2789.39990234375,2260.0,2660.0,389
2013-09-09,2660.0,3160.0,2660.0,3160.0,1317
2013-09-16,3180.0,3316.0,2824.0,2824.0,1361
2013-09-23,2888.0,3268.0,2880.0,3252.0,446
2013-09-30,3172.0,3268.0,3000.0,3260.0,285
2013-10-07,3164.0,3260.0,2956.0,3092.0,403
2013-10-14,3092.0,3092.0,2720.0,2728.0,419
2013-10-21,2728.0,2991.60009765625,2611.080078125,2860.0,205
2013-10-28,2880.0,2983.9599609375,2760.0,2804.0,276
2013-11-04,2800.0,2996.0,2772.0,2960.0,305
2013-11-11,3072.0,3259.9599609375,2980.0,3172.39990234375,445
2013-11-18,3220.0,3300.0,3180.0,3286.9599609375,437
2013-11-25,3300.0,3400.0,3160.0,3260.0,528
2013-12-02,3340.0,3356.0,3168.0,3208.0,600
2013-12-09,3300.0,3300.0,3168.0,3192.0,337
2013-12-16,3192.0,3272.0,3008.0,3272.0,283
2013-12-23,3252.0,3252.0,3164.0,3176.0,92
2013-12-30,3196.0,3220.0,3048.0,3184.0,134
2014-01-06,3200.0,3244.39990234375,3172.0,3196.0,192
2014-01-13,3200.0,3800.0,3200.0,3600.0,2211
2014-01-20,3600.0,3860.0,3528.0,3636.0,952
2014-01-27,3640.0,4276.0,3452.0,4100.0,2236
2014-02-03,4216.0,5405.2001953125,4128.0,5332.0,5399
2014-02-10,5404.0,6754.83984375,4244.0,5336.0,9192
2014-02-17,5336.0,6404.0,5336.0,6280.0,3761
2014-02-24,6148.0,6356.0,5492.0,5660.0,1665
2014-03-03,5672.0,7140.0,5640.0,7092.0,4494
2014-03-10,7188.0,7996.0,6920.0,7860.0,5270
2014-03-17,7800.0,8000.0,6624.0,6708.0,2598
2014-03-24,6744.0,6875.43994140625,5256.0400390625,5372.0,3364
2014-03-31,5400.0,5840.0,4912.0,5576.0,2786
2014-04-07,5516.0,5600.0,3880.0,3984.0,9628
2014-04-14,4000.0,4184.0,3606.0,3728.0,2521
2014-04-21,3748.0,4080.0,3748.0,3832.0,2115
2014-04-28,3820.0,4000.0,3720.0,3856.0,2129
2014-05-05,3860.0,3940.0,2656.0,2748.0,3784
2014-05-12,2728.0,3939.60009765625,2404.0,3552.0,5193
2014-05-19,3552.0,3796.0,2924.0,3020.0,2707
2014-05-26,3020.0,3552.0,2968.0,3408.0,1785
2014-06-02,3344.0,3852.0,3236.0400390625,3728.0,2199
2014-06-09,3764.0,3820.0,3308.0,3712.0,2276
2014-06-16,3768.0,3924.0,3472.0,3900.0,2884
2014-06-23,3928.0,4707.9599609375,2744.0,3852.0,56978
2014-06-30,3844.0,3860.0,3120.0,3248.0,9320
2014-07-07,3248.0,3552.0,3064.0,3492.0,4266
2014-07-14,3508.0,3664.0,3233.60009765625,3348.0,1873
2014-07-21,3336.0,3428.0,3252.0,3292.0,1363
2014-07-28,3296.0,3636.0,3216.0,3584.0,3397
2014-08-04,3608.0,3992.0,3588.0,3992.0,2432
2014-08-11,4012.0,4080.0,3224.0,3316.0,1842
2014-08-18,3344.0,3436.0,3240.0,3264.0,845
2014-08-25,3256.0,3475.9599609375,3248.0,3288.0,1071
2014-09-01,3288.0,3340.0,3076.0,3076.0,977
2014-09-08,3080.0,3255.9599609375,2814.800048828125,3188.0,2304
2014-09-15,3272.0,3340.0,2856.0,3000.0,1586
2014-09-22,2913.60009765625,3080.0,2880.0,2932.0,991
2014-09-29,2952.0,3076.0,2816.0,2832.0,1035
2014-10-06,2804.0,3008.0,2804.0,2840.0,847
2014-10-13,2892.0,3000.0,2676.0,2796.0,2111
2014-10-20,2900.0,3000.0,2804.0,2844.0,1357
2014-10-27,2851.199951171875,2932.0,2808.0,2900.0,1142
2014-11-03,2920.0,2920.0,2780.0,2828.0,727
2014-11-10,2784.0,3000.0,2731.60009765625,2892.0,1361
2014-11-17,2912.0,3032.0,2860.0,2972.0,1082
2014-11-24,2952.0,3080.0,2894.60009765625,3040.0,576
2014-12-01,3060.0,3696.0,2990.0,3560.0,2101
2014-12-08,3486.52001953125,3655.9599609375,3400.0,3420.0,1335
2014-12-15,3412.0,3504.0,3128.0,3496.0,1284
2014-12-22,3604.0,3608.0,3304.0,3432.0,787
2014-12-29,3412.0,3444.0,3260.0,3384.0,777
2015-01-05,3368.0,3680.0,3172.0,3592.0,906
2015-01-12,3596.0,3896.0,3524.0,3616.0,2329
2015-01-19,3616.0,3660.0,3048.0,3132.0,1126
2015-01-26,3124.0,3256.0,3000.0,3004.0,843
2015-02-02,3240.0,3280.0,2684.0,2800.0,4566
2015-02-09,2780.0,3280.0,2748.0,2952.0,2835
2015-02-16,2952.0,3072.0,2848.0,2860.0,1029
2015-02-23,2864.0,3260.0,2784.0,3076.0,3419
2015-03-02,3464.0,4924.0,3420.0,4592.0,19203
2015-03-09,4596.0,4692.0,3736.0,3884.0,5060
2015-03-16,3872.800048828125,3952.0,3524.0,3704.0,3694
2015-03-23,3740.0,3988.0,1088.0,1096.0,63534
2015-03-30,1132.0,1188.0,1000.0,1016.0,18796
2015-04-06,1020.0,1136.0,992.0,1120.0,9032
2015-04-13,1120.0,1128.0,1044.0,1060.0,6046
2015-04-20,1068.0,1215.9599609375,1044.0,1176.0,8087
2015-04-27,1189.280029296875,1196.0,1080.0,1128.0,5009
2015-05-04,1136.0,1168.0,1064.0,1100.0,3690
2015-05-11,1092.4000244140625,1108.0,1063.9200439453125,1092.0,2324
2015-05-18,1088.0,1120.0,1072.0,1116.0,2475
2015-05-25,1116.0,1152.0,1080.0,1084.0,4865
2015-06-01,1088.0,1128.0,1080.0,1096.0,2394
2015-06-08,1096.0,1132.0,1036.0,1036.0,2786
2015-06-15,1032.0,1060.0,1000.0,1000.0,2155
2015-06-22,1008.0,1058.0,964.0,1008.0,10315
2015-06-29,968.0,1040.0,940.0,992.0,2167
2015-07-06,984.0,984.0,808.0,908.0,3408
2015-07-13,1124.0,1736.0,1096.0,1472.0,238623
2015-07-20,1536.0,1540.800048828125,1224.0,1236.0,29723
2015-07-27,1208.0,1308.0,1152.0,1228.0,10778
2015-08-03,1212.0,1295.9599609375,926.0,940.0,9109
2015-08-10,960.0,1036.0,880.0,964.0,6182
2015-08-17,1156.0,1260.0,996.0,1032.0,21888
2015-08-24,936.0,1152.0,900.0,1140.0,7822
2015-08-31,1120.0,1192.0,1080.0,1172.0,5011
2015-09-07,1172.0,1444.0,1172.0,1288.0,16402
2015-09-14,1308.0,1320.0,1168.0,1312.0,5286
2015-09-21,1320.0,1320.0,1180.0,1200.0,3979
2015-09-28,1172.0,1196.0,1076.0,1176.0,3632
2015-10-05,1184.0,1372.0,1116.0,1308.0,5527
2015-10-12,1308.0,1324.0,1120.0,1216.0,2381
2015-10-19,1216.0,1260.0,1116.0,1164.0,2659
2015-10-26,1164.0,1212.0,1104.0,1172.0,2134
2015-11-02,1172.0,1356.0,1172.0,1252.0,4726
2015-11-09,1264.0,1488.0,1204.0,1288.0,7041
2015-11-16,1288.0,1612.0,1216.0,1440.0,7412
2015-11-23,1448.0,2028.0,1424.0,1772.0,10095
2015-11-30,1772.0,1949.5999755859373,1540.0,1640.0,7736
2015-12-07,1624.0,1764.0,1540.0,1656.0,4336
2015-12-14,1644.0,2072.0,1592.0,2028.0,6170
2015-12-21,2028.0,2624.0,2000.0400390625,2452.0,8881
2015-12-28,2440.0,2584.0,2276.0,2456.0,4316
2016-01-04,2400.0,2460.0,1980.0,1996.0,5648
2016-01-11,2040.0,2064.0,1334.0,1484.0,7767
2016-01-18,1484.0,1568.0,1224.0,1448.0,3055
