Date,Open,High,Low,Close,Volume
2015-06-29,375.0,499.5,375.0,375.0,70
2015-07-06,425.0,499.5,155.0,250.0,224
2015-07-13,255.0,262.5,187.5,212.5,144
2015-07-20,210.0,252.5,210.0,252.5,80
2015-07-27,212.5,212.5,187.5,187.5,50
2015-08-03,187.5,297.5,174.5,250.0,78
2015-08-10,200.0,225.0,175.0,175.0,254
2015-08-17,199.5,199.5,160.0,170.0,96
2015-08-24,170.0,170.0,142.5,142.5,8
2015-08-31,142.5,150.0,142.5,150.0,24
2015-09-07,150.0,150.0,135.0,150.0,68
2015-09-14,150.0,165.0,142.5,145.0,186
2015-09-21,158.5,162.5,145.0,159.5,108
2015-09-28,160.0,160.0,137.5,137.5,160
2015-10-05,145.0,145.0,118.0,118.0,124
2015-10-12,125.0,187.5,118.0,187.5,302
2015-10-19,187.5,205.0,150.0,157.5,214
2015-10-26,155.0,172.5,148.8000030517578,172.5,148
2015-11-02,160.0,172.0,137.5,172.0,98
2015-11-09,172.0,172.5,137.5,172.5,44
2015-11-16,164.5,164.5,110.5,157.5,78
2015-11-23,157.5,195.0,157.5,195.0,308
2015-11-30,197.5,210.0,190.0,207.5,430
2015-12-07,210.0,213.0,197.0,209.5,356
2015-12-14,214.5,215.0,150.0,212.5,392
2015-12-21,207.5,210.0,204.5,205.0,208
2015-12-28,204.5,205.0,184.5,205.0,120
2016-01-04,205.0,207.0,180.0,200.0,452
2016-01-11,199.5,199.5,165.0,165.0,428
2016-01-18,172.5,204.5,152.0,204.5,1108
2016-01-25,204.5,250.0,200.0,223.1000061035156,1148
2016-02-01,199.0,200.0,137.5,137.5,208
2016-02-08,149.5,160.0,102.5,130.0,284
2016-02-15,130.0,135.0,129.5,132.5,128
2016-02-22,132.5,132.5,55.0,85.0,392
2016-02-29,85.0,162.5,85.0,162.5,1260
2016-03-07,162.5,162.5,121.0,126.5,914
2016-03-14,117.5,125.0,84.5,92.0,384
2016-03-21,90.4000015258789,109.0,90.4000015258789,97.5,362
2016-03-28,97.5,107.0,82.5,106.5,242
2016-04-04,106.0,106.0,85.5,100.4000015258789,672
2016-04-11,101.0,102.5,84.0,96.5,614
2016-04-18,95.0,103.5,84.5,103.5,652
2016-04-25,103.5,115.0,96.0,99.5,808
2016-05-02,99.5,102.5,72.5,102.5,424
2016-05-09,104.5,104.5,78.8499984741211,81.0,410
2016-05-16,85.0,92.0,66.5,82.5,688
2016-05-23,92.0,116.0,92.0,116.0,564
2016-05-30,116.0,192.5,108.5,157.5,978
2016-06-06,175.0,175.0,112.5,145.0,732
2016-06-13,145.0,152.5,123.0,140.0,284
2016-06-20,142.5,147.5,100.0,125.0,802
2016-06-27,130.0,130.0,104.0,117.0,618
2016-07-04,112.5,117.5,85.5,114.0,338
2016-07-11,110.0,149.0,100.5,137.5,1928
2016-07-18,127.5,145.0,110.0,134.5,728
2016-07-25,121.0,136.5,117.5,127.0,508
2016-08-01,125.0,145.0,125.0,137.5,478
2016-08-08,135.0,138.0,100.0,129.5,676
2016-08-15,129.5,197.5,127.9000015258789,197.5,1384
2016-08-22,202.5,217.5,200.0,210.0,1240
2016-08-29,209.5,209.5,165.0,172.0,1188
2016-09-05,171.5,175.0,160.5,169.0500030517578,474
2016-09-12,170.0,170.0,142.0,154.0,272
2016-09-19,147.5,155.0,123.0,137.5,1020
2016-09-26,137.5,147.5,117.5,125.0,690
2016-10-03,147.5,160.0,132.5,132.5,628
2016-10-10,125.0,152.5,125.0,140.0,842
2016-10-17,145.0,147.5,117.5,133.0,1108
2016-10-24,134.0,172.5,105.5,152.5,1748
2016-10-31,152.5,152.5,120.0,141.0,1128
2016-11-07,147.0,147.5,129.0,139.0,260
2016-11-14,138.5,145.0,127.0,131.0,730
2016-11-21,135.0,147.5,126.5,127.5,794
2016-11-28,127.5,140.0,127.0,140.0,3050
2016-12-05,135.5,140.0,125.0,130.0,878
2016-12-12,132.5,132.5,100.0,100.0,1116
2016-12-19,100.0,131.5,97.5,122.5,756
2016-12-26,124.0,125.0,112.5,124.5,344
2017-01-02,122.5,125.0,110.0,115.9000015258789,746
2017-01-09,117.5,122.5,105.0,110.0,830
2017-01-16,124.5,124.5,110.5,117.5,176
2017-01-23,117.5,130.0,110.5,113.0,750
2017-01-30,113.0,125.0,102.5,115.0,326
2017-02-06,125.0,125.0,100.5,124.0,1194
2017-02-13,117.5,125.0,117.5,125.0,740
2017-02-20,117.5,125.0,112.5,125.0,446
2017-02-27,115.0,127.5,113.0,115.0,636
2017-03-06,120.0,135.0,112.5,125.5,1184
2017-03-13,137.5,155.0,118.0,155.0,1294
2017-03-20,160.0,162.5,135.5,140.0,1092
2017-03-27,133.0,150.0,127.5,150.0,318
2017-04-03,150.0,150.0,132.5,141.0,436
2017-04-10,137.5,137.5,126.0,132.5,204
2017-04-17,132.5,140.0,115.5,135.0,1464
2017-04-24,139.0,140.0,114.0,134.0,268
2017-05-01,140.5,145.0,127.5,136.5,672
2017-05-08,137.5,137.5,111.5,120.0,542
2017-05-15,117.5,117.5,90.0,103.0,414
2017-05-22,102.5,117.5,91.0,105.0,1028
2017-05-29,106.0,141.0,103.5,124.0,806
2017-06-05,125.0,139.5,122.5,122.5,332
2017-06-12,124.5,125.0,112.5,112.5,392
