Date,Open,High,Low,Close,Volume
2015-06-22,12500.0,13750.0,11250.0,11725.0,816
2015-06-29,11875.0,11950.0,9505.0,11250.0,109
2015-07-06,11725.0,11725.0,10375.0,10725.0,163
2015-07-13,10700.0,10725.0,8925.0,9625.0,137
2015-07-20,9000.0,11725.0,7550.0,10400.0,295
2015-07-27,10125.0,10750.0,8370.0,9175.0,67
2015-08-03,8800.0,9825.0,8125.0,8612.5,35
2015-08-10,8500.0,9575.0,7575.0,7950.0,51
2015-08-17,8050.0,11050.0,6275.0,6750.0,687
2015-08-24,6250.0,8625.0,6250.0,8075.0,166
2015-08-31,8000.0,8750.0,7500.0,8250.0,109
2015-09-07,8125.0,8500.0,7625.0,8450.0,30
2015-09-14,8150.0,8475.0,6250.0,6250.0,80
2015-09-21,7250.0,8475.0,6650.0,6700.0,137
2015-09-28,6500.0,6850.0,5000.0,6000.0,83
2015-10-05,5975.0,6325.0,5750.0,6135.0,16
2015-10-12,6150.0,6500.0,5375.0,6475.0,16
2015-10-19,6022.5,6500.0,5525.0,6275.0,20
2015-10-26,6025.0,6475.0,5375.0,5900.0,20
2015-11-02,5950.0,5975.0,5375.0,5750.0,27
2015-11-09,5850.0,6212.5,5155.0,5550.0,51
2015-11-16,5527.5,6125.0,5400.0,5800.0,93
2015-11-23,5950.0,6000.0,5275.0,5625.0,103
2015-11-30,5650.0,6575.0,5325.0,5650.0,218
2015-12-07,5675.0,5800.0,4775.0,4975.0,213
2015-12-14,4830.0,4925.0,4025.0,4475.0,200
2015-12-21,4550.0,5425.0,4300.0,4750.0,182
2015-12-28,4675.0,5000.0,3850.0,4250.0,244
2016-01-04,4250.0,4400.0,3275.0,3900.0,248
2016-01-11,3750.0,3900.0,2800.0,3325.0,111
2016-01-18,3207.5,3645.0,2700.0,3400.0,229
2016-01-25,3425.0,3650.0,3175.0,3425.0,61
2016-02-01,3300.0,3400.0,2725.0,2975.0,83
2016-02-08,3100.0,4220.0,2452.5,3525.0,170
2016-02-15,3502.5,4150.0,3200.0,3827.5,84
2016-02-22,4000.0,4300.0,3550.0,3735.0,88
2016-02-29,3800.0,4275.0,3450.0,3750.0,66
2016-03-07,3750.0,4475.0,3550.0,4462.5,62
2016-03-14,4397.5,4475.0,3150.0,3300.0,99
2016-03-21,3200.0,3700.0,2675.0,2800.0,209
2016-03-28,2900.0,3100.0,2575.0,2950.0,54
2016-04-04,2950.0,3850.0,2750.0,3450.0,199
2016-04-11,3500.0,4100.0,3125.0,3800.0,148
2016-04-18,3895.0,4550.0,3800.0,4100.0,88
2016-04-25,3932.5,4200.0,3857.5,4075.0,22
2016-05-02,4075.0,4687.5,4075.0,4500.0,44
2016-05-09,4675.0,4725.0,4247.5,4300.0,26
2016-05-16,4325.0,4325.0,3750.0,4000.0,10
2016-05-23,4000.0,4237.5,3775.0,4100.0,11
2016-05-30,4122.5,4350.0,3900.0,4162.5,13
2016-06-06,4275.0,4325.0,3850.0,3950.0,6
2016-06-13,4050.0,4575.0,3975.0,4450.0,22
2016-06-20,4325.0,4700.0,3775.0,4250.0,22
2016-06-27,4250.0,4725.0,3500.0,4000.0,73
2016-07-04,4000.0,4075.0,3525.0,3950.0,22
2016-07-11,3950.0,4125.0,3600.0,3650.0,28
2016-07-18,3785.0,3785.0,3175.0,3450.0,13
2016-07-25,3475.0,6175.0,3125.0,3625.0,935
2016-08-01,3500.0,3750.0,3075.0,3275.0,70
2016-08-08,3375.0,3600.0,3125.0,3200.0,35
2016-08-15,3425.0,3750.0,3275.0,3400.0,51
2016-08-22,3425.0,3500.0,3125.0,3247.5,33
2016-08-29,3200.0,3600.0,3177.5,3525.0,46
2016-09-05,3425.0,3725.0,3175.0,3175.0,95
2016-09-12,3200.0,3725.0,3000.0,3725.0,68
2016-09-19,3625.0,4500.0,3375.0,4350.0,399
2016-09-26,4375.0,4425.0,3625.0,4200.0,111
2016-10-03,4250.0,5450.0,4050.0,4925.0,256
2016-10-10,4950.0,5122.5,4142.5,4250.0,73
2016-10-17,4300.0,7500.0,4260.0,6500.0,2235
2016-10-24,6675.0,8150.0,5925.0,6225.0,1134
2016-10-31,6250.0,6425.0,5125.0,5200.0,180
2016-11-07,5025.0,6550.0,5025.0,6500.0,187
2016-11-14,6550.0,6550.0,5475.0,6100.0,146
2016-11-21,6125.0,6200.0,5625.0,5900.0,53
2016-11-28,5925.0,6725.0,5650.0,6225.0,103
2016-12-05,6450.0,7775.0,6152.5,7275.0,418
2016-12-12,7500.0,7500.0,6500.0,7025.0,124
2016-12-19,7100.0,7225.0,6525.0,6800.0,52
2016-12-26,6750.0,6825.0,6375.0,6775.0,55
2017-01-02,6900.0,7950.0,6462.5,7025.0,128
2017-01-09,7525.0,7567.5,7100.0,7300.0,129
2017-01-16,7975.0,7975.0,7335.0,7425.0,138
2017-01-23,7500.0,7600.0,6925.0,7300.0,167
2017-01-30,7375.0,9250.0,7125.0,8925.0,525
2017-02-06,8825.0,9375.0,7625.0,8700.0,215
2017-02-13,8750.0,8950.0,7625.0,7975.0,172
2017-02-20,8125.0,8475.0,7125.0,7225.0,283
2017-02-27,7625.0,8375.0,6337.5,7700.0,481
2017-03-06,7750.0,8005.0,7002.5,7500.0,284
2017-03-13,7500.0,7847.5,5525.0,5650.0,465
2017-03-20,5375.0,5525.0,3975.0,4525.0,473
2017-03-27,4525.0,5075.0,3235.0,3550.0,1714
2017-04-03,3550.0,3550.0,2750.0,2850.0,594
2017-04-10,2850.0,3650.0,2375.0,2700.0,2740
2017-04-17,2725.0,2925.0,2475.0,2675.0,2229
2017-04-24,2725.0,2750.0,1900.0,2000.0,2317
2017-05-01,1965.0,2375.0,1650.0,1775.0,2285
2017-05-08,1775.0,1775.0,1375.0,1560.0,678
2017-05-15,1575.0,1950.0,1450.0,1675.0,1056
2017-05-22,1637.5,1875.0,1627.5,1675.0,392
2017-05-29,1737.5,1737.5,1475.0,1510.0,203
2017-06-05,1537.5,1625.0,1450.0,1575.0,388
2017-06-12,1550.0,1995.0,1525.0,1562.5,1464
2017-06-19,1525.0,1650.0,1450.0,1500.0,458
2017-06-26,1550.0,1575.0,1300.0,1375.0,1125
2017-07-03,1437.5,1875.0,1300.0,1425.0,2089
2017-07-10,1475.0,1710.0,1415.0,1625.0,775
2017-07-17,1700.0,1700.0,1250.0,1425.0,795
2017-07-24,1425.0,1522.5,1350.0,1450.0,363
2017-07-31,1450.0,1625.0,1375.0,1500.0,836
2017-08-07,1425.0,1500.0,1350.0,1400.0,201
2017-08-14,1425.0,1575.0,1302.5,1500.0,591
2017-08-21,1500.0,1500.0,1350.0,1402.5,223
2017-08-28,1400.0,1617.5,1325.0,1545.0,423
2017-09-04,1545.0,1545.0,1375.0,1425.0,194
2017-09-11,1425.0,1475.0,1350.0,1350.0,290
2017-09-18,1395.0,1417.5,1200.0,1255.0,411
2017-09-25,1275.0,1375.0,842.5,875.0,2337
2017-10-02,925.0,1025.0,857.5,945.0,6846
2017-10-09,975.0,1000.0,837.5,860.0,1754
2017-10-16,925.0,950.0,800.0,920.0,1215
2017-10-23,950.0,1037.5,862.5,912.5,5009
2017-10-30,975.0,1012.5,812.5,842.5,4393
2017-11-06,845.0,875.0,715.0,845.0,1791
2017-11-13,852.5,875.0,777.5,857.5,1152
